분류,제목,만료날짜,참여인원
문화/예술/체육/언론,언론 개혁 징벌적 손해배상제도 도입 청원,2020-05-02,"1,291명"
외교/통일/국방,공군 제****부대내 부조리를 신고합니다,2020-05-02,600명
행정,다중시설 휴업지업금 교습소학원 포함시켜주세요!,2020-05-02,539명
경제민주화,회생 단축법안의 일괄소급을 촉구합니다.,2020-05-02,864명
안전/환경,서민 울리는 중고나라 사기단!! 잡아주세요,2020-05-02,922명
육아/교육,건강장애 학생이 이용하는 스쿨포유 초/중/고 과정을 일반학생이 이용할 수 있도록 해주세요.,2020-05-02,"3,269명"
인권/성평등,"총선 전에, 'n번방 방지 및 처벌법'을 위한 원포인트 임시국회를 소집할 것을 촉구합니다.",2020-05-02,"3,691명"
행정,제발! 무능한 대구시장 권영진을 파면해 주십시오.,2020-05-02,"3,814명"
안전/환경,415총선투표에 비닐장갑 사용과 코로나지원금카드를 생분해 성분으로 사용하면 어떨까요?,2020-05-02,218명
기타,조두순을 출소시키지 말아주세요,2020-05-02,"2,994명"
경제민주화,신의성실의 원칙에 따른 무차별 세금부과,2020-05-02,348명
행정,강남구청장의 브리핑에 관해 공개해명을 요청합니다.,2020-05-02,465명
안전/환경,개인 부담을 해서라도 돌아오고 싶은 해외에 체류 혹 거주하고 있는 국민들에게 전세기 부탁드립니다.,2020-05-02,250명
교통/건축/국토,충남도청 입구인 서해선복선전철에 예산군 삽교역사를 신설하라.,2020-05-02,278명
외교/통일/국방,한달만이라도 해외입국금지 청뭔합니다,2020-05-02,"1,458명"
기타,"청소년법개정,처벌강화해주세요",2020-05-02,"3,106명"
외교/통일/국방,아프리카 나이지리아 코로나19 폐쇄 대한민국 국민을 살려주세요,2020-05-02,"2,330명"
기타,렌트카 훔쳐 사망사고를 낸 10대 엄중 처벌해주세요,2020-05-02,"1,007,040명"
육아/교육,무상급식 물품을 아이들에게 보내 주세요,2020-05-02,420명
육아/교육,한번 씩만 읽어주세요( 온라인 개학 대신 다른 방안도 제시 해 주세요),2020-05-02,800명
육아/교육,어린이집 긴급휴원 동안 한시적으로 보육료에서 양육수당 전환 안되도록 해주세요.,2020-05-02,644명
육아/교육,"모든 학교의 개학을 9월 1일로 연기하고, 9월 학년 시작제를 도입하십시오",2020-05-02,"7,281명"
보건복지,현직 약사입니다. 마스크 구입 편의를 위해 5부제 폐지 청원 합니다.,2020-05-02,834명
일자리,"생계를 위협받고 있는 예술인,예술강사들에게 지원이 필요합니다.",2020-05-02,"8,082명"
일자리,온라인 개학에 맞춰 워킹맘들의 재택근무를 기업에 권고해주세요.,2020-05-02,675명
성장동력,"나라에서 소기업인,자영업자,소상공인,농어민 의 부동산을 공시지가로 사주시기 바랍니다",2020-05-02,164명
보건복지,긴급재난지원금 빠르고 공평하게 줄수 있는 방안을 제안합니다.,2020-05-02,"1,668명"
보건복지,어린이집(유치원) 휴원 무기한 연장기간 중 양육수당 전환하여 이중지원 받는 일이 없도록 해 주세요.,2020-05-02,491명
보건복지,실업급여자도 재난기금대상자에 포함해주세요,2020-05-02,"1,234명"
교통/건축/국토,자영업자의 월임차료 50%를 6개월 동안 감액하는 특별법을 제정하라,2020-05-02,986명
기타,코로나19 지원금 소득기준,2020-05-02,481명
육아/교육,어린이집 지원대책 절실합니다,2020-05-02,695명
보건복지,온라인 강의 연장으로 인해 대학교 원룸촌에 무의미한 월세를 지불하고 있는 대학생들을 위한 ‘코로나 19 주택 지원 사업’이 필요합니다.,2020-05-02,"1,658명"
보건복지,코로나가 잔정 되지 않는 이시점에 총회 허가해준 북구청을 고발합니다,2020-05-01,380명
경제민주화,불법적인 공매도 기관에 조사를 촉구합니다.,2020-05-01,"1,041명"
행정,"금융 사모펀드의 부실관리 및 판매의 책임을 물어 청와대 관계자, 금융감독원과 금융권에  대한  국정감사 및 청문회를 요청합니다.",2020-05-01,"1,545명"
외교/통일/국방,대통령님 죄없는 농민을 고발하고 농토를 침탈하여 생존권을 위협한 잔악무도한 민통선 사단장을 즉각 교체하여 주십시오,2020-05-01,449명
기타,세월호 전면재수사,2020-05-01,"216,118명"
기타,총선 연기하고 임시국회 소집하라,2020-05-01,444명
육아/교육,교사 41조연수 폐지 및 현 휴업사태에서 교사 월급을 삭감하십시오(무노동 무임금),2020-05-01,"1,992명"
미래,4.15 총선에 사용되는 63빌딩 7개 높이 분량의 위생장갑을 자연분해(생분해) 위생장갑으로 우선 사용해주세요.,2020-05-01,"2,083명"
행정,호소합니다. 울릉군이 더 이상 민원인의 권리와 인권이 침해 당하지 않도록 하여 주십시오,2020-05-01,161명
육아/교육,"교무행정사, 실무사를 없애주세요.",2020-05-01,"1,405명"
안전/환경,동해시 관광홍보를 멈춰주세요.,2020-05-01,"1,722명"
안전/환경,코로나바이러스 공간방역 시스템의 청와대 무료 설치 제안,2020-05-01,148명
외교/통일/국방,외국인 입국금지 반드시 해야합니다. 국무총리 당신의 의견이 국민의 의견이라고 생각하지 말아주세요,2020-05-01,"4,209명"
육아/교육,코로나로 인한 초중고 온라인수업에 대해 기발한 아이디어를 제시합니다,2020-05-01,"31,225명"
기타,연예인 김**씨의 과한 만우절 장난 처벌 해주세요,2020-05-01,"14,303명"
육아/교육,특수학교 자율적 등원 하게 해주세요.,2020-05-01,502명
육아/교육,어린이집 무기한 휴원 조치에 따른 정부대책 건의안(종사자실업급여전환지원등) 요청,2020-05-01,886명
외교/통일/국방,중국에 한국인 유학생 입국금지를 강력히 항의해 주세요.,2020-05-01,457명
보건복지,장애활동보조서비스 일부시간이라도 차상위의료비본인부담소득기준까지 직계가족 허용해주세요,2020-05-01,261명
보건복지,해외발 국내 입국자 관리,2020-05-01,513명
정치개혁,강남구청장 파면을 청원합니다,2020-05-01,"2,315명"
미래,왜??? 불법체류한 사람을 범칙금 면제 해주고 불법체류 전력을 문제 삼지 않고 재입국 허용하게 하나요? 법무부의 불법체류자 자진 출국제도를 폐지해 주세요!,2020-05-01,"1,184명"
안전/환경,자가격리 무시하고 제주도 관광한 모녀와 그 사람들 옹호하는 강남구청장 엄벌 요청드립니다,2020-05-01,"2,153명"
기타,강남구청장 사퇴하라,2020-05-01,755명
정치개혁,중앙일보의 댓글 여론공작 의혹을 밝혀주세요,2020-05-01,"1,237명"
행정,강남 코로나 모녀와 강남 구청장과의 모종의 관계를 수사해주세요,2020-05-01,849명
안전/환경,강남구청장의 '선의의 피해자' 발언의 공개 사과를 청원합니다.,2020-05-01,"2,457명"
교통/건축/국토,도로위 스텔스차량 처벌강화,2020-05-01,631명
외교/통일/국방,세계로 수출하는 코로나19 진단키드에 독도는 대한민국땅이라는것을 표기하자,2020-05-01,"2,621명"
안전/환경,**폐렴으로 인하여 피해를 본 국민들을 위해 중국에 손해배상 청구를 할 것을 부탁드립니다,2020-05-01,591명
인권/성평등,마취 중인 환자에게 변태 행위를 한 대형병원 산부인과 인턴 - 국민의 안전을 위해 병원 공개 및 의사 면허 취소를 청원합니다.,2020-05-01,"86,749명"
육아/교육,보육시설 감염병으로 국가에서 내린 휴원기간에 퇴소 할 수없도록,2020-05-01,316명
외교/통일/국방,러시아 전세기 요청합니다 교민들이 불안에 떨고 있습니다,2020-05-01,996명
보건복지,검사대상에서 제외되는 항공사승무원이 슈퍼전파자가 되는걸 막아주세요,2020-05-01,"1,450명"
안전/환경,지역 축제 예산 코로나 대책에 활용,2020-05-01,282명
행정,긴급재난 지원금 모든 국민에게 공평하게,2020-05-01,"3,242명"
기타,인터넷방송인 *** (본명 이**) 부적절한방송 강력한 재제를 국민청원합니다.,2020-05-01,"1,061명"
문화/예술/체육/언론,실내체육시설은 코로나 확산 주체및시설이 아닙니다,2020-05-01,"1,093명"
경제민주화,전국민 긴급신속재난지원 경제대책을 청원합니다.,2020-05-01,"1,270명"
보건복지,키즈카페를  아시나요?,2020-05-01,"1,161명"
육아/교육,휴원하고 있는 학원에 대한 대책을 마련해 주세요.,2020-05-01,"1,395명"
일자리,코로나로 피해입은 프리랜서들도 지원 간절히 부탁드립니다~!!,2020-05-01,429명
육아/교육,마이스터및 특성화고를 위한 대책을 마련을 부탁드립니다,2020-05-01,"1,258명"
문화/예술/체육/언론,다중이용시설 운영자 및 직원은 대한민국 국민이 아닌가요?,2020-05-01,222명
정치개혁,긴급재난지원금 대상자와 혜택 수정을 청원합니다,2020-05-01,"1,655명"
육아/교육,온라인 개학을 취소하고 개학 연장을 원합니다,2020-05-01,"2,065명"
육아/교육,준비되지않은 온라인개학을 반대합니다 그리고 나라가 안정되었을때 아이들이 안전하게 등교할수 있길 청원합니다,2020-05-01,"1,702명"
보건복지,긴급보육의 제재와 명확한 방침을 요구합니다.,2020-05-01,"1,448명"
육아/교육,사립 예술고등학교나 특,2020-05-01,606명
행정,n 번 방 가해자 법률 및 대한민국 법률 문제점.,2020-05-01,628명
인권/성평등,N번방 최초보도자 신변 보호를 강력히 원합니다.,2020-05-01,"1,088명"
보건복지,2~4월 소득 0원인 어린이집/유치원 특별활동 강사를 도와주세요.,2020-05-01,"3,294명"
육아/교육,유치원 무기한 개학연기로 인한 사립유치원 교원들의 급여를 보장하는 대안을 마련해주세요,2020-05-01,"10,944명"
육아/교육,이럴거면 어린이집 무기한 휴원연장 철회해 주세요!!,2020-05-01,807명
육아/교육,학원인  코로나  대출 보증료율 인하,2020-05-01,311명
육아/교육,코로나로인한 학교개학연기! 무상급식비용 가정으로!,2020-05-01,572명
보건복지,무기한 휴원 연장으로 인한 어린이집 교직원들의 급여 또는 보육료를 보장하는 대안을 마련해주세요.,2020-05-01,"27,295명"
육아/교육,양육수당 폐지(양육수당이 보육교직원을 실직자로 만들고 있다),2020-05-01,"28,937명"
육아/교육,온라인개학반대,2020-05-01,703명
보건복지,보육교사는 파리,2020-05-01,688명
교통/건축/국토,★★화성시 시민들도 신분당선 타고싶다! 연장요청드립니다!,2020-05-01,"2,377명"
보건복지,저는 워킹맘이자 보육교사입니다,2020-05-01,223명
육아/교육,개학연기로 인한 사립유치원 교사의 절규,2020-05-01,"2,660명"
인권/성평등,소아성애 잠재적 범죄자들의 온상인 루리웹을 폐쇄해주세요.,2020-04-30,"2,518명"
외교/통일/국방,중국에 코로나 배상책임 100조원을 청구해야합니다,2020-04-30,"1,102명"
인권/성평등,"‘n번방 사건’, 국회의원선거 후보자 방송토론회 공통 주제로 선정해주십시오.",2020-04-30,885명
행정,영종국제도시에 해외입국자 자가격리시설 지정정보와 확진자의 투명한 정보 공개를 요청합니다!!!,2020-04-30,"3,397명"
정치개혁,전과가 있는 경우 국회의원후보등록 및 비례후보등록 원천금지를 청원합니다.,2020-04-30,"3,066명"
정치개혁,이 시국에 **살 무소속 후보에게 추천장 300명을 받게 하는 공직선거법 규정 때문에 후보 등록을 못했습니다.,2020-04-30,175명
보건복지,코로나19로부터 안전한 장애인시설을 만들어 주세요!,2020-04-30,470명
행정,윤석열 검찰총장을 당장 파면해주세요,2020-04-30,"5,683명"
행정,윤석열 검찰총장은 양심적으로 사퇴해주십시요,2020-04-30,"2,467명"
정치개혁,공적책임과 공정성 미달한 적폐언론 *** TV조선 재승인을 불허해야합니다.,2020-04-30,"39,900명"
안전/환경,자가격리 기간중 평창으로 여행온 확진자에 대해 소송을 청원합니다,2020-04-30,"2,308명"
보건복지,현 시국에 자각심이 없는 강남구청장님을 해임해주세요.,2020-04-30,"2,004명"
정치개혁,자가격리 어기고 제주도 여행한 모녀와 선의의 피해자라며 감싸는 강남구청장을 경질해주세요,2020-04-30,"1,627명"
행정,정순균 강남구청장의 파면을 청원합니다.,2020-04-30,"58,023명"
행정,국회의원 온라인 투표,2020-04-30,356명
행정,국회의원 온라인 투표,2020-04-30,233명
정치개혁,4월15일 21대 국회의원선거는 반드시 연기되어야 합니다!,2020-04-30,776명
보건복지,대구광역시의 지방자치권을 한시적으로 박탈해 주시기 바랍니다.,2020-04-30,615명
보건복지,대규모 집단 전염병 재발 방지를 위한 *** 방식의 속임수 포교 금지법을 만들어주세요.,2020-04-30,463명
정치개혁,권영진 대구시장님 자진사퇴해야 국민청원합니다 부탁합니다,2020-04-30,"2,253명"
교통/건축/국토,2020년 공시가격 인상안의 전면철회를 청원합니다.,2020-04-30,"19,068명"
경제민주화,식약처의 코로나 진단업체 승인관련 유착 또는 차별여부 조사의뢰,2020-04-30,283명
경제민주화,대출 규제부터 완화 해야 합니다!,2020-04-30,588명
외교/통일/국방,군인은 사람이 아닙니까?,2020-04-30,"3,563명"
외교/통일/국방,UAE 교민ㆍ유학생ㆍ단기체류자 한국국민에게 전세기 보내주시길 바랍니다,2020-04-30,840명
기타,군인 출타 빠른 시일내에 풀어주세요..,2020-04-30,"1,043명"
기타,자영업자 생계를 짓밟는 한국노총 해체하라!!,2020-04-30,937명
안전/환경,커뮤니티 뉴스 제,2020-04-30,395명
안전/환경,전세계적인 코로나 바이러스 재난에 노출된 선원들을 위한 특별법 제정을 부탁드립니다,2020-04-30,195명
보건복지,현시국에 해외여행 다녀와서 코로나걸린 사람 자비로 치료,2020-04-30,"2,306명"
기타,군산 화학공장 폭발사고로 돌아가신 삼촌의 억울함을 풀어주세요.,2020-04-30,886명
육아/교육,온라인개학을 반대합니다,2020-04-30,"2,313명"
보건복지,조기폐경 미혼여성에게 임신,2020-04-30,569명
육아/교육,온라인개학반대합니다.,2020-04-30,959명
보건복지,긴급재난기금은 국민 모두에게 공평하게 주십시오,2020-04-30,"4,896명"
육아/교육,"사립초,중,고 학비를 환불해주세요",2020-04-30,"12,185명"
보건복지,KF94 보건용마스크 개선 방안을 제안합니다,2020-04-30,504명
육아/교육,대책없는 무기한 개학연기와 온라인 개학을 반대합니다.,2020-04-30,"1,674명"
육아/교육,온라인개학 반대 및 추가 개학연기 청원,2020-04-30,"1,714명"
보건복지,코로나19 신속 자가진단키트 약국 판매하여 주세요.,2020-04-30,588명
외교/통일/국방,사우디아라비아 전세기 요청 드립니다.,2020-04-30,571명
보건복지,해외입국자 격리에 대한 의견,2020-04-30,"1,326명"
행정,,2020-04-30,"1,049명"
기타,성폭력 담당판사를 여성으로해주세요,2020-04-30,"1,481명"
보건복지,"고생 많은 의료진 (의사, 간호사, 구급요원, 봉사자 등) 께서 합당한 보상과 대우를 받게 해주세요",2020-04-30,"1,799명"
보건복지,수원 영국인 확진자 구상권 청구하고 강제 추방시켜주세요.,2020-04-30,"1,705명"
외교/통일/국방,청원합니다. 외국인 입국금지.,2020-04-30,"2,161명"
기타,인도에 고립되었습니다,2020-04-30,271명
교통/건축/국토,"코로나19 로 인한 정비사업 총회의 도시정비법(직접참석자 비율 완화, 서면결의 대체등)개정의  FAST TRACK 제안드립니다..",2020-04-30,366명
보건복지,"해외 입국인 중 (자국민,외국인포함) 자가격리 권고를 무시하고 다니는 이들에게 징벌금을 물게해주세요.",2020-04-30,"2,485명"
인권/성평등,"n번방 가해자 처벌과 오덕식 판사자격 박탈, 일간베스트와 디시인사이드를 폐쇄 해주세요.",2020-04-30,"4,550명"
보건복지,대구 코로나지역거점병원 지정된 대구동산병원 직원들의 생존권을 보장해 주십시오.,2020-04-30,756명
행정,청주시 행정의 무능함을 정부당국이 바로잡아주세요,2020-04-30,"1,559명"
기타,신천지 코로나19 확진자 교주 이** 에게 병원 비용 구상권 청구 해야합니다,2020-04-30,"1,776명"
보건복지,[코로나19] 해외 동포에 대한 치료비용 및 자가격리 방침을 어긴 확진자로 부터의 피해비용. 개인청구 해주세요.,2020-04-30,"2,281명"
보건복지,"해외입국 차단 및 해외동포,외국인,신천지등의 확진자 치료비 청구요청",2020-04-30,"1,555명"
인권/성평등,권력기관의 만행 척결과 차별 시정을 청원합니다.,2020-04-30,189명
외교/통일/국방,아랍에미리트.사우디에도 전세기좀 보내주세요!,2020-04-30,292명
성장동력,"한시적으로 중소기업 대표이사의  퇴직연금 사용할 수 있게 해서, 어려운 회사를 살릴 수있도록 도와주십시요",2020-04-30,172명
보건복지,만성 신부전증 투석 환자들에게 마스크 일주일 세개 공급해주세요 !,2020-04-30,240명
일자리,문재인 대통령님 COVID-19 확산에 따른 한국 의류벤더 섬유 산업을 살려주세요.,2020-04-30,"11,365명"
교통/건축/국토,일조권과 사생활 침해의 위기에 놓인 ‘상업’지역 주민들을 도와주세요,2020-04-30,159명
교통/건축/국토,부당한 공공분양 제도,2020-04-30,297명
경제민주화,코로나19로 힘든시기에 은행대출이자를 한시적으로 유예해주길 청원합니다.,2020-04-30,339명
인권/성평등,"이란을 도와주십시요.정부 직접 구호가 불가하다면,민간기구의 도움방법을 강구해 주세요.",2020-04-30,936명
행정,중위소득150% 이상 국민의 소득세 인하를 요구합니다.,2020-04-30,619명
기타,부산시 소상인 100만원지원 조건 다시검토바랍니다,2020-04-30,321명
인권/성평등,05년생 집단 폭행 사건,2020-04-30,"4,989명"
외교/통일/국방,코로나-19 관련 타국에 수출 및 지원 시 국외문화유산 환수,2020-04-30,334명
보건복지,외국인 전면 입국 금지 요청합니다. 교민도 가려서 받읍시다.,2020-04-30,"2,230명"
안전/환경,한국소비자들은 언제까지 당해야 합니까?,2020-04-30,258명
정치개혁,마스크 배급제 폐지 동의하시길 부탁드립니다,2020-04-30,227명
기타,대구 코로나 긴급재난자금,2020-04-30,536명
행정,정세균 총리님 부디 약속한바와 같이 제발 투명한 지원좀 해주세요,2020-04-30,252명
기타,세금내고있는외국인도재난지원금받게해주세요,2020-04-30,"4,173명"
기타,긴급재난지원금 제외라니요????,2020-04-30,"9,581명"
외교/통일/국방,코로나 19로 인한 장병들의 출타 전면 통제에 대한 대책을 마련해주십시오,2020-04-30,"4,415명"
문화/예술/체육/언론,서바이벌 게임을 레져활동으로 활성화 시켜주세요,2020-04-30,"3,021명"
행정,긴급재난지원금을 전국민에게 동일하게 지급해주시길 요청드립니다.,2020-04-30,"7,724명"
육아/교육,"온라인개학 반대, 5월이후로 개학연기, 학사운영 축소로 탄력적 재조정",2020-04-30,"14,690명"
보건복지,음식점 종사자들도 마스크 착용의무화해주세요,2020-04-30,567명
기타,"국민 대 지원금은  부동산,주식, 예금등 현재 보유하고 있는 자산도 고려해서 지급해야 합니다.",2020-04-30,322명
보건복지,자가격리 어기는 사람에게 신상공개. 요청합니다.,2020-04-29,"2,314명"
보건복지,코로나 해외유입원  차단 당장 시헹해야 된다,2020-04-29,"1,978명"
인권/성평등,"1인 시위자에게 위압을 행사하고, 1인 시위 폭행범을  옹호한 부산남부경찰서 전원을 처벌해주십시오.",2020-04-29,"1,304명"
정치개혁,조국 장관 수사에 참여한 검사들에 대한 감찰을 해주십시요.,2020-04-29,"10,793명"
외교/통일/국방,주남아공 한국 대사관 감사 요청,2020-04-29,"1,009명"
인권/성평등,병역법 개정을 통해 여성 인권을 확실히 보장해 주세요,2020-04-29,"6,673명"
육아/교육,*** 포교의 사이버 보육교사 취득!  사이버 교사 자격취득은 폐지되어야 합니다!,2020-04-29,828명
인권/성평등,범죄피해여성의 성착취 사진.동영상촬영 유포.특수강간및 강간치상.장애인간음.성매매강요.살인미수등 지적장애 피해여성에게 범죄를 저지른 남성가해자들을 철저하게 조사하여 엄벌에 처해주세요,2020-04-29,"3,314명"
인권/성평등,텔레그램에서 남성 미성년자 성착취물을 유포한 범죄자들의 처벌과 신상공개를  요청합니다.,2020-04-29,"2,626명"
육아/교육,어린이집휴원 중단해 주세요,2020-04-29,323명
문화/예술/체육/언론,공연 관람 환불 및 상담 관련,2020-04-29,256명
인권/성평등,조두순이 곧 나옵니다. 재범위험군이 높은 범죄자는 출소 후 재범위험군이 낮아질때까지 치료시설에 강제입원 시켜주세요.,2020-04-29,"19,153명"
보건복지,해외에서 들어오는 외국인들의 치료비용을 청구합시다,2020-04-29,"2,618명"
인권/성평등,'잠재적 N번방 시청자'를 만들지 말아 주십시오.,2020-04-29,"5,893명"
인권/성평등,"* ** ** pd들, 방통위, ***을 처벌해주세요",2020-04-29,249명
인권/성평등,N번방 조주빈 사건을 배당 받은 오덕식 판사와 이언학 판사 등 성범죄 오판 판사들의 성범죄 사건 배당 취소 및 금지를 청원 합니다.,2020-04-29,"1,936명"
기타,학교급식업체에 대한 대책을 마련해주세요.,2020-04-29,"16,690명"
육아/교육,특성화고/마이스터고 재학 중인 고3을 위한 대책을 마련해 주세요,2020-04-29,"28,750명"
경제민주화,**그룹 악행  세상에 이럴 수가,2020-04-29,403명
경제민주화,사업장이 화성인데주거지가 화성이아니라고생계비지원이안된다네요,2020-04-29,314명
행정,근로자가 놀아야 지원해주는 코로나19 고용유지지원금 누구를 위한 제도인가?,2020-04-29,"3,792명"
육아/교육,미성년자를 위한 휴대폰 기능 제한과 요금제 만들어주세요,2020-04-29,"1,728명"
보건복지,해외유입자 자가격리 어길 시 벌금 및 치료비 청구 해주세요,2020-04-29,"4,271명"
행정,다같이 힘든 시기에 이기적인 행동으로 피해를 가중시키는 확진자 대상 구상권 청구 건의합니다.,2020-04-29,"2,014명"
안전/환경,해외교민을 받아들이는 건 좋은데요.,2020-04-29,"1,271명"
안전/환경,"자가격리를 어긴 해외 입국자들의 경우, 검사비, 치료비 등 모든 비용을 청구해주세요.",2020-04-29,"3,155명"
보건복지,코로나 자가격리 위반 확진자들에게 구상권 청구를 요청합니다.,2020-04-29,"17,451명"
보건복지,재난자금 지급에대한 어느 가장의 생각,2020-04-29,"2,011명"
육아/교육,해외유입원들 차단없이 4월6일 개학을 반대합니다.,2020-04-29,828명
보건복지,"자가격리 대상자 통보하실때 이탈후 확진시 ""국민건강보험 수급 일시정지 동의""를 받아주세요",2020-04-29,"1,011명"
보건복지,코로나19 격리 및 자가격리를 법으로정하고 어길시 강력한 처벌을 원합니다.,2020-04-29,"1,621명"
보건복지,군포효사랑요양원 어르신들을 살려주세요,2020-04-29,"5,678명"
안전/환경,유학생 입국자 자가격리 의무화 및 위반시 벌금 부과,2020-04-29,"2,151명"
성장동력,‘코로나19’로 인해 더욱 악화된 경제위기 상황에서 지금 전국 92만여 심야전기보일러 사용자는 더욱 더 펑펑 울고 있습니다... 현장의,2020-04-29,265명
외교/통일/국방,인도에 대한민국 전세기 부탁드립니다.,2020-04-29,"2,985명"
외교/통일/국방,싱가포르에 있는 대한민국 국적의 국민들을 도와주세요,2020-04-29,"1,462명"
기타,조치원 제2복합커뮤니티센터 건립의 문제점을 밝히며 시정을 요구합니다!,2020-04-29,657명
보건복지,해외입국자 자가격리비용 자비비율을 80프로 이상이 되도록 해주세요,2020-04-29,"1,058명"
인권/성평등,범죄자를 위한 법은 필요없습니다,2020-04-29,"1,322명"
안전/환경,말레이시아에 전세기 보내주세요. (살려주세요),2020-04-29,399명
보건복지,해외 유입 막고 이동 금지 해서 코로나 19 빨리 끝내주세요.,2020-04-29,"2,116명"
농산어촌,방역제 살포로 자식같은 꿀벌들이 다 죽었습니다.,2020-04-29,445명
성장동력,신속 진단킷트회사,2020-04-29,263명
외교/통일/국방,남미 (파라구아이) 에 파견되어 일하는 한국인을 위하여 전세기를 보내주세요,2020-04-29,598명
안전/환경,외국에서의 입국을 안막을거면 공항에 임시거처를 마련해서 일정기간후 입국시켜주세요,2020-04-29,463명
외교/통일/국방,동티모르 국민 송환 요청,2020-04-29,237명
외교/통일/국방,대한민국 해외근로자에 대한 귀국 항공 노선 확보.,2020-04-29,599명
안전/환경,4월1일 부터 시행하는 모든 입국자 2주간 의무격리를 지금당장 시행해주세요!!!,2020-04-29,538명
인권/성평등,대한민국에서 거소등록(주민등록)을 하고 경제활동을 하고 세금을 내고 있는 외국인들에 대해서도 정부에서 가이드라인을 만들어 코비드19 관련 지원을 부탁드립니다.,2020-04-29,"14,430명"
기타,(전국민 필독) 편의점 제품가격 너무 비싸요 낮추어 주세요...,2020-04-29,449명
안전/환경,모든 음주 관련 범죄에 대해 감형이 아닌 가중 처벌을 적용해 주시기 바랍니다.,2020-04-29,"1,018명"
보건복지,국가의 강압적 통제,2020-04-29,531명
보건복지,코로나 확산 방지를 위해 강력한 제재가 필요합니다,2020-04-29,406명
인권/성평등,형을 죽게 만들뻔한 선생들을 처벌해주세요,2020-04-29,"2,379명"
일자리,****자동차 판매노동자 현대판 노예 구해 해주세요,2020-04-29,361명
행정,마스크와 상관없는 품,2020-04-29,118명
안전/환경,민식이법 관련 아이들과 운전자를 지켜주세요.,2020-04-29,"2,570명"
행정,"지금 현재 코로나바이러스 많큼 소상공인을 죽이는, 특정 갑질폰트회사들의 민형사상 고소고발 남발하고 있습니다. 폰트저작권침해 중재 위원회를 신설해주세요!",2020-04-29,813명
정치개혁,변호사시험과 판사 ㆍ검사시험을 구분실시,2020-04-29,277명
외교/통일/국방,코로나19 확산 방지를 위한 외국인 선별적 입국 제한(한시적),2020-04-29,690명
행정,2020년 도로사용료변상금 받지마세요,2020-04-29,139명
기타,강원도 코로나 19 지원금 전체 도민 지급!,2020-04-29,204명
행정,긴급재난지원금 전국민 동일하게 지급해주십시오,2020-04-29,"10,891명"
기타,모두가 어려운 이때 재난지원금 전국민 똑같이 지급해 주세요,2020-04-29,"2,107명"
보건복지,재난기본소득의 균등한분배를 요구합니다,2020-04-29,"2,569명"
외교/통일/국방,코로나로 인한 사실상 출국 불가 . 2020년 출국예정이었던 워킹홀리데이참가자들의 비자연장/비자열기를 도와주세요.,2020-04-29,250명
행정,차별적 전시행정 부당합니다. 차라리 PC방 영업중단명령을 내려주세요,2020-04-29,262명
기타,개인과외교습자도 코로나 지원해주어야합니다.,2020-04-29,"1,248명"
경제민주화,"재난기본소득 전국민에게 주시던지, 주지 말던지 해주세요",2020-04-29,"3,042명"
미래,대한민국 국적 회복을  엄격하게 제한할 것을 청원합니다!!,2020-04-29,"3,568명"
기타,벚꽃이 피는 여의도주변 통제를 건의 합니다.,2020-04-29,293명
행정,울산 재난지원금 이게 평등함에 최선인가요? 차라리 주지맙시다.,2020-04-29,628명
보건복지,보육교사 업무 환경 개선,2020-04-29,639명
행정,"코로나 소상공인 지원시, 억울한 자영업자를 구해주세요.",2020-04-29,299명
인권/성평등,신용회복중인 소상공인들을 살려주세요,2020-04-29,508명
안전/환경,어린이 보호구역에서 사고가 나면 운전자 뿐만 아니라 어린이 부모나 교육기관에도 책임을 물을 수 있도록 법 개정을 촉구합니다.,2020-04-29,"2,068명"
기타,우리나라 여분의 마스크를 전세계 의료인에게 공급해주세요,2020-04-29,155명
일자리,영세.중소기업 지원에 대하여,2020-04-29,168명
보건복지,경기도 화성시 코로나19 긴급생활비 지원은 화성시에 사업자등록한 소상공인 모두에게 혜택을 주어야 합니다.,2020-04-29,630명
일자리,'요가 강사 필라테스 강사' 에게 '코로나 19 휴원 휴직수당'을 지원 해주세요,2020-04-29,411명
육아/교육,4.6일 개학 연기 시 문제점 및 안전한 학교 운영 방안 제시,2020-04-29,490명
기타,코로나 긴급생활지원금 모든국민에게 균등하게 지급해주세요,2020-04-29,"3,550명"
육아/교육,학교 숙제를 줄여주세요,2020-04-29,"1,380명"
보건복지,중위소득 50% 이하 가구도 소비쿠폰말고 똑같이 긴급재난생계지원금으로 주세요,2020-04-29,316명
육아/교육,선택적 개학요청합니다. 누구를 위한 개학입니까?,2020-04-28,"1,122명"
육아/교육,교육청의 온라인 화상 원격수업료70% 가이드라인 철회를 요구합니다,2020-04-28,"6,119명"
육아/교육,보육료결제를 어린이집에서 할수 있게 해주세요,2020-04-28,"7,015명"
일자리,주휴수당 폐지,2020-04-28,614명
육아/교육,형평성 문제만 야기시키는 긴급아동수당 비용보다는 더 필요한 곳에 써주세요,2020-04-28,929명
보건복지,재난지원정책 차별지급 반대합니다,2020-04-28,"9,621명"
육아/교육,코로나로 인한 개학 연기와 관련하여 청원드립니다.,2020-04-28,"2,058명"
육아/교육,초등학생 부모도 세금 냅니다..초등학생에게도 긴급 수당 지원해 주세요,2020-04-28,"1,385명"
육아/교육,공교육 영상자료들에 자막을 삽입해주세요,2020-04-28,821명
