행정구역별(1),행정구역별(2),면적 (㎢),남자,여자,인구밀도 (명/㎢),인구증가율 (%)
충청북도,진천군,407.25 ,38314.00 ,35363.00 ,192.06 ,5.33 
충청북도,괴산군,842.16 ,19855.00 ,19199.00 ,46.47 ,0.21 
충청북도,음성군,520.23 ,51156.00 ,46150.00 ,184.21 ,-0.49 
충청북도,단양군,781.15 ,15198.00 ,15017.00 ,38.73 ,-0.94 
충청남도,천안시,636.07 ,321435.00 ,310096.00 ,992.87 ,2.20 
충청남도,공주시,864.19 ,54437.00 ,53995.00 ,125.47 ,-1.36 
충청남도,보령시,573.90 ,52214.00 ,50984.00 ,179.82 ,-0.65 
충청남도,아산시,542.62 ,160483.00 ,150970.00 ,573.98 ,2.81 
충청남도,서산시,741.30 ,88359.00 ,83319.00 ,231.59 ,0.52 
충청남도,논산시,555.17 ,61204.00 ,61036.00 ,220.18 ,-0.79 
충청남도,계룡시,60.72 ,21834.00 ,22133.00 ,724.09 ,3.13 
충청남도,당진시,704.43 ,88026.00 ,79413.00 ,237.69 ,0.49 
충청남도,금산군,577.21 ,27181.00 ,26713.00 ,93.37 ,-1.31 
충청남도,부여군,624.53 ,34259.00 ,34827.00 ,110.62 ,-1.57 
충청남도,서천군,365.70 ,27176.00 ,27999.00 ,150.88 ,-1.49 
충청남도,청양군,479.12 ,16527.00 ,16310.00 ,68.54 ,0.26 
충청남도,홍성군,444.01 ,50530.00 ,51040.00 ,228.76 ,1.60 
충청남도,예산군,542.62 ,40280.00 ,40058.00 ,148.06 ,-1.23 
충청남도,태안군,515.78 ,32325.00 ,31607.00 ,123.95 ,0.05 
전라북도,전주시,205.50 ,319442.00 ,329522.00 ,3157.98 ,-0.43 
전라북도,군산시,396.40 ,139246.00 ,135751.00 ,693.74 ,-0.92 
전라북도,익산시,506.50 ,149587.00 ,150600.00 ,592.67 ,-0.10 
전라북도,정읍시,692.90 ,56365.00 ,57411.00 ,164.20 ,-1.21 
전라북도,남원시,752.20 ,40868.00 ,42413.00 ,110.72 ,-1.08 
전라북도,김제시,545.90 ,43110.00 ,43816.00 ,159.23 ,-0.98 
전라북도,완주군,821.10 ,49282.00 ,46693.00 ,116.89 ,0.52 
전라북도,진안군,789.10 ,13149.00 ,13122.00 ,33.29 ,0.77 
전라북도,무주군,631.90 ,12294.00 ,12515.00 ,39.26 ,-0.56 
전라북도,장수군,533.30 ,11410.00 ,11593.00 ,43.13 ,-2.65 
전라북도,임실군,597.40 ,15391.00 ,14771.00 ,50.49 ,-0.12 
전라북도,순창군,496.00 ,14349.00 ,15349.00 ,59.88 ,-0.84 
전라북도,고창군,607.70 ,29934.00 ,30538.00 ,99.51 ,-0.21 
전라북도,부안군,493.20 ,27880.00 ,28206.00 ,113.72 ,-1.61 
전라남도,목포시,51.64 ,116763.00 ,117616.00 ,4538.71 ,-1.41 
전라남도,여수시,510.54 ,145122.00 ,141260.00 ,560.94 ,-0.90 
전라남도,순천시,910.98 ,139167.00 ,140164.00 ,306.63 ,0.28 
전라남도,나주시,608.40 ,55396.00 ,54714.00 ,180.98 ,5.49 
전라남도,광양시,463.12 ,80301.00 ,75556.00 ,336.54 ,0.18 
전라남도,담양군,455.09 ,23746.00 ,23539.00 ,103.90 ,0.12 
전라남도,곡성군,547.48 ,14643.00 ,15488.00 ,55.04 ,-0.88 
전라남도,구례군,443.26 ,13392.00 ,14133.00 ,62.10 ,0.41 
전라남도,고흥군,807.23 ,32112.00 ,34624.00 ,82.67 ,-1.36 
전라남도,보성군,663.90 ,21153.00 ,22602.00 ,65.91 ,-1.61 
전라남도,화순군,786.91 ,31838.00 ,32842.00 ,82.19 ,-0.95 
전라남도,장흥군,622.32 ,19499.00 ,20637.00 ,64.49 ,-1.31 
전라남도,강진군,500.95 ,17731.00 ,19137.00 ,73.60 ,-2.34 
전라남도,해남군,1031.36 ,35867.00 ,37737.00 ,71.37 ,-2.02 
전라남도,영암군,604.24 ,28502.00 ,27114.00 ,92.04 ,-2.51 
전라남도,무안군,449.73 ,41473.00 ,41399.00 ,184.27 ,0.93 
전라남도,함평군,392.10 ,17004.00 ,17324.00 ,87.55 ,-0.20 
전라남도,영광군,474.96 ,27296.00 ,27478.00 ,115.32 ,-1.52 
전라남도,장성군,518.44 ,23300.00 ,22811.00 ,88.94 ,0.02 
전라남도,완도군,396.44 ,26092.00 ,26017.00 ,131.44 ,-1.06 
전라남도,진도군,440.12 ,15592.00 ,16173.00 ,72.17 ,-0.98 
전라남도,신안군,655.92 ,22301.00 ,19769.00 ,64.14 ,-1.36 
경상북도,포항시,1130.01 ,259491.00 ,254341.00 ,454.71 ,-0.57 
경상북도,경주시,1324.94 ,129178.00 ,128725.00 ,194.65 ,-0.60 
경상북도,김천시,1009.83 ,71556.00 ,71352.00 ,141.52 ,0.46 
경상북도,안동시,1521.98 ,82143.00 ,84129.00 ,109.25 ,-1.50 
경상북도,구미시,615.29 ,215826.00 ,205973.00 ,685.53 ,0.45 
