,년도,광역,기초,경찰서,연령,발생건수,가구수,발생율,범죄피해율
525,2017,경북,칠곡군,경북칠곡경찰서,21~30세,361,2578,14.0,14003.1
526,2017,경북,칠곡군,경북칠곡경찰서,31~40세,510,3320,15.36,15361.45
527,2017,경북,칠곡군,경북칠곡경찰서,41~50세,591,2454,24.08,24083.13
528,2017,경북,칠곡군,경북칠곡경찰서,51~60세,514,2228,23.07,23070.02
529,2017,경북,칠곡군,경북칠곡경찰서,61~세,270,3937,6.86,6858.01
530,2017,광주,광산구,광주광산경찰서,16~20세,636,614,103.58,103583.06
531,2017,광주,광산구,광주광산경찰서,21~30세,1598,7989,20.0,20002.5
532,2017,광주,광산구,광주광산경찰서,31~40세,1920,9098,21.1,21103.54
533,2017,광주,광산구,광주광산경찰서,41~50세,2121,7992,26.54,26539.04
534,2017,광주,광산구,광주광산경찰서,51~60세,1513,6310,23.98,23977.81
535,2017,광주,광산구,광주광산경찰서,61~세,653,8838,7.39,7388.55
536,2017,대구,달성군,대구달성경찰서,16~20세,178,98,181.63,181632.65
537,2017,대구,달성군,대구달성경찰서,21~30세,546,2556,21.36,21361.5
538,2017,대구,달성군,대구달성경찰서,31~40세,664,4345,15.28,15281.93
539,2017,대구,달성군,대구달성경찰서,41~50세,752,3517,21.38,21381.86
540,2017,대구,달성군,대구달성경찰서,51~60세,696,3564,19.53,19528.62
541,2017,대구,달성군,대구달성경찰서,61~세,412,6171,6.68,6676.39
542,2017,대구,수성구,대구수성경찰서,16~20세,458,327,140.06,140061.16
543,2017,대구,수성구,대구수성경찰서,21~30세,1387,4134,33.55,33551.04
544,2017,대구,수성구,대구수성경찰서,31~40세,1452,5002,29.03,29028.39
545,2017,대구,수성구,대구수성경찰서,41~50세,1806,5500,32.84,32836.36
546,2017,대구,수성구,대구수성경찰서,51~60세,1510,6161,24.51,24509.01
547,2017,대구,수성구,대구수성경찰서,61~세,980,13399,7.31,7313.98
548,2017,대전,유성구,대전유성경찰서,16~20세,351,846,41.49,41489.36
